x,y,radial distance,birth gen,mutation
-2.36069,-0.0252769,2.36083,1.0,0.0
-1.90965,-0.973761,2.14359,1.0,0.0
0.94972,0.677009,1.16632,1.0,0.0
-2.77961,5.2218,5.91553,1.0,0.0
-1.64835,1.36238,2.13848,1.0,0.0
1.11792,-4.2543,4.39873,1.0,0.0
0.986007,-0.449363,1.08358,1.0,0.0
2.44089,-2.96094,3.83733,1.0,0.0
1.27814,-0.977044,1.6088,1.0,0.0
-1.72076,-1.8021,2.4917,1.0,0.0
0.150275,-0.364219,0.394003,1.0,0.0
-0.267858,0.919257,0.957488,1.0,0.0
-2.75144,-1.82564,3.30202,1.0,0.0
-1.95026,-0.0655829,1.95136,1.0,0.0
-2.70115,-1.07359,2.90668,1.0,0.0
1.98227,0.0496987,1.9829,1.0,0.0
3.35147,-1.98779,3.89662,1.0,0.0
3.45852,2.36013,4.18707,1.0,0.0
2.87572,-0.175555,2.88108,1.0,0.0
3.69579,0.823485,3.78642,1.0,0.0
-1.43037,-0.62371,1.56044,1.0,0.0
0.123532,-5.39119,5.39261,1.0,0.0
-1.41787,-1.53184,2.08732,1.0,0.0
0.343864,-1.27143,1.31711,1.0,0.0
-3.0555,-4.52166,5.45724,1.0,0.0
2.32378,1.3922,2.70891,1.0,0.0
-2.77252,-0.348806,2.79438,1.0,0.0
0.195343,-0.675118,0.702811,1.0,0.0
2.34287,-0.644951,2.43002,1.0,0.0
1.96092,-1.64897,2.56209,1.0,0.0
-3.74815,-4.39458,5.7759,1.0,0.0
-1.23253,-1.71335,2.11061,1.0,0.0
-0.478923,2.24113,2.29173,1.0,0.0
4.00274,0.641144,4.05376,1.0,0.0
1.41746,1.38815,1.98397,1.0,0.0
-2.1462,-1.36454,2.54325,1.0,0.0
2.58162,0.369026,2.60786,1.0,0.0
0.0408417,1.34477,1.34539,1.0,0.0
-2.45486,6.47827,6.9278,1.0,0.0
-0.431351,-0.0938193,0.441436,1.0,0.0
-0.935377,0.689163,1.16184,1.0,0.0
-0.701393,-0.67838,0.975782,1.0,0.0
-2.64813,-0.679649,2.73396,1.0,0.0
-4.28083,-1.81054,4.64796,1.0,0.0
1.45454,0.368138,1.5004,1.0,0.0
-0.896214,-2.89659,3.03206,1.0,0.0
1.14853,0.814953,1.40828,1.0,0.0
-2.37835,-3.05635,3.8727,1.0,0.0
3.90837,2.17867,4.47459,1.0,0.0
1.42993,-2.0076,2.46479,1.0,0.0
3.56478,-1.83717,4.01035,1.0,0.0
3.34143,-2.2892,4.05038,1.0,0.0
-2.23927,0.224402,2.25049,1.0,0.0
0.0142568,-1.54071,1.54077,1.0,0.0
0.952601,-0.180314,0.969516,1.0,0.0
-0.798947,-0.549505,0.969676,1.0,0.0
0.796519,1.08285,1.34425,1.0,0.0
2.27541,3.26341,3.97836,1.0,0.0
-1.16726,2.29116,2.57136,1.0,0.0
0.369003,-1.91545,1.95067,1.0,0.0
-1.03708,-4.23282,4.35802,1.0,0.0
-0.315771,-2.32986,2.35116,1.0,0.0
-1.76491,-3.5254,3.94251,1.0,0.0
-1.23401,2.89083,3.1432,1.0,0.0
-0.32945,1.65636,1.68881,1.0,0.0
0.586752,-1.55439,1.66145,1.0,0.0
-0.0100824,-1.59779,1.59783,1.0,0.0
0.930023,-0.129562,0.939004,1.0,0.0
-2.43473,0.56872,2.50027,1.0,0.0
-1.12952,-2.17359,2.44956,1.0,0.0
-4.00024,-2.52921,4.73274,1.0,0.0
-0.790175,2.67915,2.79325,1.0,0.0
-2.25731,1.87546,2.93476,1.0,0.0
-0.968917,-2.04388,2.26192,1.0,0.0
1.60352,1.50667,2.2003,1.0,0.0
-5.18204,0.894086,5.25861,1.0,0.0
0.444095,2.14353,2.18905,1.0,0.0
0.127058,-0.35364,0.375772,1.0,0.0
1.95453,-0.487003,2.01429,1.0,0.0
-3.55777,-2.20114,4.18363,1.0,0.0
-4.57613,-0.853548,4.65505,1.0,0.0
1.70337,-2.604,3.11164,1.0,0.0
0.0392845,4.10591,4.1061,1.0,0.0
-0.0389973,-2.84184,2.84211,1.0,0.0
1.06706,1.86798,2.15127,1.0,0.0
