capacity,mu,percent_local,time,avg_occupancy,N_satellites
10.0,1.5,0.0,1.0,1.0,63.0
10.0,1.5,0.0,2.0,1.0,63.0
10.0,1.5,0.0,3.0,1.1111111111111112,63.0
10.0,1.5,0.0,4.0,1.4444444444444444,63.0
10.0,1.5,0.0,5.0,1.873015873015873,63.0
10.0,1.5,0.0,6.0,2.857142857142857,63.0
10.0,1.5,0.0,7.0,4.26984126984127,63.0
10.0,1.5,0.0,8.0,5.301587301587301,63.0
10.0,1.5,0.0,9.0,6.523809523809524,63.0
10.0,1.5,0.0,10.0,7.349206349206349,63.0
10.0,1.5,0.0,11.0,7.698412698412699,63.0
10.0,1.5,0.0,12.0,7.714285714285714,63.0
10.0,1.5,0.0,13.0,7.73015873015873,63.0
10.0,1.5,0.0,14.0,7.761904761904762,63.0
10.0,1.5,0.0,15.0,7.809523809523809,63.0
10.0,1.5,0.0,16.0,7.841269841269841,63.0
10.0,1.5,0.0,17.0,7.841269841269841,63.0
10.0,1.5,0.0,18.0,7.873015873015873,63.0
10.0,1.5,0.0,19.0,7.873015873015873,63.0
10.0,1.5,50.0,1.0,1.0,71.0
10.0,1.5,50.0,2.0,1.5633802816901408,71.0
10.0,1.5,50.0,3.0,2.408450704225352,71.0
10.0,1.5,50.0,4.0,3.788732394366197,71.0
10.0,1.5,50.0,5.0,5.126760563380282,71.0
10.0,1.5,50.0,6.0,6.591549295774648,71.0
10.0,1.5,50.0,7.0,7.830985915492958,71.0
10.0,1.5,50.0,8.0,8.830985915492958,71.0
10.0,1.5,50.0,9.0,9.28169014084507,71.0
10.0,1.5,50.0,10.0,9.577464788732394,71.0
10.0,1.5,50.0,11.0,9.690140845070422,71.0
10.0,1.5,50.0,12.0,9.732394366197184,71.0
10.0,1.5,50.0,13.0,9.788732394366198,71.0
10.0,1.5,50.0,14.0,9.830985915492958,71.0
10.0,1.5,50.0,15.0,9.830985915492958,71.0
10.0,1.5,50.0,16.0,9.845070422535212,71.0
10.0,1.5,50.0,17.0,9.845070422535212,71.0
10.0,1.5,50.0,18.0,9.859154929577464,71.0
10.0,1.5,50.0,19.0,9.887323943661972,71.0
10.0,1.5,50.0,20.0,9.901408450704226,71.0
10.0,1.5,50.0,21.0,9.901408450704226,71.0
10.0,1.5,50.0,22.0,9.901408450704226,71.0
10.0,1.5,50.0,23.0,9.901408450704226,71.0
10.0,1.5,99.0,1.0,1.0,62.0
10.0,1.5,99.0,2.0,2.306451612903226,62.0
10.0,1.5,99.0,3.0,4.451612903225806,62.0
10.0,1.5,99.0,4.0,6.645161290322581,62.0
10.0,1.5,99.0,5.0,8.387096774193548,62.0
10.0,1.5,99.0,6.0,9.612903225806452,62.0
10.0,1.5,99.0,7.0,10.32258064516129,62.0
10.0,1.5,99.0,8.0,10.580645161290322,62.0
10.0,1.5,99.0,9.0,10.85483870967742,62.0
10.0,1.5,99.0,10.0,10.951612903225806,62.0
10.0,1.5,99.0,11.0,11.064516129032258,62.0
10.0,1.5,99.0,12.0,11.129032258064516,62.0
10.0,1.5,99.0,13.0,11.17741935483871,62.0
10.0,1.5,99.0,14.0,11.193548387096774,62.0
10.0,1.5,99.0,15.0,11.209677419354838,62.0
10.0,1.5,99.0,16.0,11.258064516129032,62.0
10.0,1.5,99.0,17.0,11.258064516129032,62.0
10.0,1.5,99.0,18.0,11.274193548387096,62.0
10.0,1.5,99.0,19.0,11.274193548387096,62.0
10.0,1.5,99.0,20.0,11.274193548387096,62.0
10.0,1.5,99.0,21.0,11.274193548387096,62.0
10.0,1.5,99.0,22.0,11.274193548387096,62.0
10.0,1.5,99.0,23.0,11.274193548387096,62.0
10.0,1.5,99.0,24.0,11.274193548387096,62.0
10.0,1.5,99.0,25.0,11.274193548387096,62.0
10.0,1.5,99.0,26.0,11.274193548387096,62.0
10.0,2.0,0.0,1.0,1.0,51.0
10.0,2.0,0.0,2.0,1.0,51.0
10.0,2.0,0.0,3.0,1.1372549019607843,51.0
10.0,2.0,0.0,4.0,1.6666666666666667,51.0
10.0,2.0,0.0,5.0,2.5294117647058822,51.0
10.0,2.0,0.0,6.0,3.9411764705882355,51.0
10.0,2.0,0.0,7.0,4.823529411764706,51.0
10.0,2.0,0.0,8.0,5.9411764705882355,51.0
10.0,2.0,0.0,9.0,6.490196078431373,51.0
10.0,2.0,0.0,10.0,6.921568627450981,51.0
10.0,2.0,0.0,11.0,7.254901960784314,51.0
10.0,2.0,0.0,12.0,7.392156862745098,51.0
10.0,2.0,0.0,13.0,7.529411764705882,51.0
10.0,2.0,0.0,14.0,7.549019607843137,51.0
10.0,2.0,0.0,15.0,7.607843137254902,51.0
10.0,2.0,0.0,16.0,7.666666666666667,51.0
10.0,2.0,0.0,17.0,7.705882352941177,51.0
10.0,2.0,0.0,18.0,7.7254901960784315,51.0
10.0,2.0,0.0,19.0,7.7254901960784315,51.0
10.0,2.0,0.0,20.0,7.7254901960784315,51.0
10.0,2.0,0.0,21.0,7.7254901960784315,51.0
10.0,2.0,50.0,1.0,1.0,56.0
10.0,2.0,50.0,2.0,1.6607142857142858,56.0
10.0,2.0,50.0,3.0,2.2857142857142856,56.0
10.0,2.0,50.0,4.0,3.642857142857143,56.0
10.0,2.0,50.0,5.0,5.053571428571429,56.0
10.0,2.0,50.0,6.0,6.428571428571429,56.0
10.0,2.0,50.0,7.0,7.964285714285714,56.0
10.0,2.0,50.0,8.0,8.553571428571429,56.0
10.0,2.0,50.0,9.0,8.964285714285714,56.0
10.0,2.0,50.0,10.0,9.142857142857142,56.0
10.0,2.0,50.0,11.0,9.25,56.0
10.0,2.0,50.0,12.0,9.339285714285714,56.0
10.0,2.0,50.0,13.0,9.375,56.0
10.0,2.0,50.0,14.0,9.410714285714286,56.0
10.0,2.0,50.0,15.0,9.428571428571429,56.0
10.0,2.0,50.0,16.0,9.428571428571429,56.0
10.0,2.0,50.0,17.0,9.428571428571429,56.0
10.0,2.0,50.0,18.0,9.446428571428571,56.0
10.0,2.0,50.0,19.0,9.464285714285714,56.0
10.0,2.0,50.0,20.0,9.464285714285714,56.0
10.0,2.0,50.0,21.0,9.482142857142858,56.0
10.0,2.0,50.0,22.0,9.5,56.0
10.0,2.0,50.0,23.0,9.5,56.0
10.0,2.0,50.0,24.0,9.5,56.0
10.0,2.0,50.0,25.0,9.5,56.0
10.0,2.0,99.0,1.0,1.0,10.0
10.0,2.0,99.0,2.0,2.0,10.0
10.0,2.0,99.0,3.0,3.6,10.0
10.0,2.0,99.0,4.0,6.5,10.0
10.0,2.0,99.0,5.0,7.6,10.0
10.0,2.0,99.0,6.0,9.2,10.0
10.0,2.0,99.0,7.0,9.9,10.0
10.0,2.0,99.0,8.0,10.6,10.0
10.0,2.0,99.0,9.0,10.7,10.0
10.0,2.0,99.0,10.0,11.4,10.0
10.0,2.0,99.0,11.0,11.5,10.0
10.0,2.0,99.0,12.0,11.5,10.0
10.0,2.0,99.0,13.0,11.5,10.0
10.0,2.0,99.0,14.0,11.5,10.0
10.0,2.0,99.0,15.0,11.5,10.0
10.0,2.0,99.0,16.0,11.5,10.0
10.0,2.5,0.0,1.0,1.0,23.0
10.0,2.5,0.0,2.0,1.0,23.0
10.0,2.5,0.0,3.0,1.2608695652173914,23.0
10.0,2.5,0.0,4.0,2.217391304347826,23.0
10.0,2.5,0.0,5.0,3.347826086956522,23.0
10.0,2.5,0.0,6.0,4.6521739130434785,23.0
10.0,2.5,0.0,7.0,6.304347826086956,23.0
10.0,2.5,0.0,8.0,7.217391304347826,23.0
10.0,2.5,0.0,9.0,7.695652173913044,23.0
10.0,2.5,0.0,10.0,7.913043478260869,23.0
10.0,2.5,0.0,11.0,7.913043478260869,23.0
10.0,2.5,0.0,12.0,7.913043478260869,23.0
10.0,2.5,0.0,13.0,7.913043478260869,23.0
10.0,2.5,99.0,1.0,1.0,30.0
10.0,2.5,99.0,2.0,2.1,30.0
10.0,2.5,99.0,3.0,4.266666666666667,30.0
10.0,2.5,99.0,4.0,6.466666666666667,30.0
10.0,2.5,99.0,5.0,8.6,30.0
10.0,2.5,99.0,6.0,10.033333333333333,30.0
10.0,2.5,99.0,7.0,10.933333333333334,30.0
10.0,2.5,99.0,8.0,11.333333333333334,30.0
10.0,2.5,99.0,9.0,11.5,30.0
10.0,2.5,99.0,10.0,11.566666666666666,30.0
10.0,2.5,99.0,11.0,11.633333333333333,30.0
10.0,2.5,99.0,12.0,11.633333333333333,30.0
10.0,2.5,99.0,13.0,11.7,30.0
10.0,2.5,99.0,14.0,11.7,30.0
10.0,2.5,99.0,15.0,11.766666666666667,30.0
10.0,2.5,99.0,16.0,11.8,30.0
10.0,2.5,99.0,17.0,11.8,30.0
10.0,2.5,99.0,18.0,11.8,30.0
10.0,2.5,99.0,19.0,11.8,30.0
10.0,2.5,99.0,20.0,11.8,30.0
10.0,2.5,99.0,21.0,11.8,30.0
10.0,2.5,99.0,22.0,11.8,30.0
10.0,2.5,99.0,23.0,11.8,30.0
100.0,1.5,0.0,1.0,1.0,66.0
100.0,1.5,0.0,2.0,1.0,66.0
100.0,1.5,0.0,3.0,1.121212121212121,66.0
100.0,1.5,0.0,4.0,1.303030303030303,66.0
100.0,1.5,0.0,5.0,1.7878787878787878,66.0
100.0,1.5,0.0,6.0,2.4242424242424243,66.0
100.0,1.5,0.0,7.0,3.878787878787879,66.0
100.0,1.5,0.0,8.0,6.590909090909091,66.0
100.0,1.5,0.0,9.0,11.363636363636363,66.0
100.0,1.5,0.0,10.0,20.606060606060606,66.0
100.0,1.5,0.0,11.0,36.90909090909091,66.0
100.0,1.5,0.0,12.0,58.015151515151516,66.0
100.0,1.5,0.0,13.0,69.72727272727273,66.0
100.0,1.5,0.0,14.0,74.36363636363636,66.0
100.0,1.5,0.0,15.0,75.24242424242425,66.0
100.0,1.5,0.0,16.0,75.24242424242425,66.0
100.0,1.5,0.0,17.0,75.24242424242425,66.0
100.0,1.5,0.0,18.0,75.24242424242425,66.0
100.0,1.5,50.0,1.0,1.0,57.0
100.0,1.5,50.0,2.0,1.4035087719298245,57.0
100.0,1.5,50.0,3.0,2.1228070175438596,57.0
100.0,1.5,50.0,4.0,3.3333333333333335,57.0
100.0,1.5,50.0,5.0,4.964912280701754,57.0
100.0,1.5,50.0,6.0,8.0,57.0
100.0,1.5,50.0,7.0,13.070175438596491,57.0
100.0,1.5,50.0,8.0,21.56140350877193,57.0
100.0,1.5,50.0,9.0,34.92982456140351,57.0
100.0,1.5,50.0,10.0,52.473684210526315,57.0
100.0,1.5,50.0,11.0,70.80701754385964,57.0
100.0,1.5,50.0,12.0,78.6140350877193,57.0
100.0,1.5,50.0,13.0,82.10526315789474,57.0
100.0,1.5,50.0,14.0,84.03508771929825,57.0
100.0,1.5,50.0,15.0,84.63157894736842,57.0
100.0,1.5,50.0,16.0,84.63157894736842,57.0
100.0,1.5,50.0,17.0,84.63157894736842,57.0
100.0,1.5,50.0,18.0,84.63157894736842,57.0
100.0,1.5,50.0,19.0,84.63157894736842,57.0
100.0,1.5,50.0,20.0,84.63157894736842,57.0
100.0,1.5,99.0,1.0,1.0,55.0
100.0,1.5,99.0,2.0,2.1272727272727274,55.0
100.0,1.5,99.0,3.0,3.7636363636363637,55.0
100.0,1.5,99.0,4.0,6.927272727272728,55.0
100.0,1.5,99.0,5.0,12.454545454545455,55.0
100.0,1.5,99.0,6.0,22.327272727272728,55.0
100.0,1.5,99.0,7.0,38.72727272727273,55.0
100.0,1.5,99.0,8.0,60.872727272727275,55.0
100.0,1.5,99.0,9.0,78.03636363636363,55.0
100.0,1.5,99.0,10.0,88.05454545454545,55.0
100.0,1.5,99.0,11.0,93.49090909090908,55.0
100.0,1.5,99.0,12.0,97.01818181818182,55.0
100.0,1.5,99.0,13.0,98.30909090909091,55.0
100.0,1.5,99.0,14.0,98.45454545454545,55.0
100.0,1.5,99.0,15.0,98.47272727272727,55.0
100.0,1.5,99.0,16.0,98.47272727272727,55.0
100.0,1.5,99.0,17.0,98.47272727272727,55.0
100.0,1.5,99.0,18.0,98.47272727272727,55.0
100.0,1.5,99.0,19.0,98.47272727272727,55.0
