x,y,radial distance,birth gen,local number
1.04483,0.632606,1.22142,1,3
1.28302,3.07208,3.32924,1,3
-0.325139,3.28409,3.30015,1,5
-1.39253,-3.47771,3.74614,1,3
-2.65955,-1.97754,3.31419,1,4
-2.94638,1.08545,3.13996,1,3
0.677768,1.98614,2.0986,1,4
-1.44339,0.859291,1.67981,1,4
0.599329,-0.362965,0.700671,1,6
2.62746,0.428401,2.66215,1,5
4.72307,-4.08092,6.2419,1,1
0.749035,-1.22043,1.43196,1,4
-1.51766,2.39883,2.8386,1,3
2.08088,0.856131,2.25011,1,3
-2.68513,-1.7052,3.18082,1,3
1.27561,-2.48191,2.79054,1,5
0.231681,-0.970354,0.997629,1,5
-2.55198,-3.46219,4.30109,1,2
1.86193,4.38609,4.76493,1,4
0.737039,-2.71432,2.8126,1,2
-0.256838,0.523981,0.583543,1,3
0.14932,3.36526,3.36857,1,4
-1.5157,-2.3477,2.79447,1,3
1.85006,4.036,4.43983,1,4
1.49975,-1.71425,2.2777,1,5
3.97,1.24094,4.15943,1,4
1.67694,-1.8974,2.53224,1,4
-1.91755,2.35259,3.03507,1,3
4.86305,1.06778,4.9789,1,3
4.72621,1.35476,4.91655,1,3
0.26007,1.59461,1.61568,1,3
-2.29521,-0.57036,2.36502,1,4
-1.93309,3.10424,3.65694,1,6
-2.02974,3.72601,4.24299,1,3
3.54516,-2.42735,4.29653,1,2
0.232567,-3.9433,3.95015,1,1
1.81614,1.92647,2.64758,1,3
3.35083,1.00847,3.4993,1,4
-0.547208,0.0174284,0.547486,1,4
-0.538921,-0.994677,1.13129,1,3
-1.68066,-1.56202,2.29445,1,2
-1.92665,0.692322,2.04726,1,4
-2.14566,0.103775,2.14817,1,4
0.247476,1.74368,1.76115,1,3
0.925534,0.305476,0.974643,1,4
-0.342503,-0.522716,0.624932,1,5
-0.163952,0.66325,0.683213,1,3
2.35895,2.74038,3.61584,2,4
2.36071,1.19368,2.64535,2,4
2.63516,3.23851,4.17516,2,3
-0.143829,2.67754,2.6814,2,4
-1.56155,5.52672,5.74308,2,1
-5.70272,-10.7232,12.1453,2,1
-3.22738,-4.32423,5.39583,2,1
-3.01464,-12.5257,12.8834,2,1
8.51024,-3.35796,9.14877,2,1
2.24126,-2.25818,3.18161,2,5
10.259,-1.96668,10.4458,2,1
-4.05833,-5.36595,6.72781,2,1
-2.95939,-0.0966718,2.96097,2,3
-1.4649,-2.646,3.02444,2,3
3.61528,0.223896,3.6222,2,2
4.02449,-7.5819,8.58381,2,1
0.0445746,-18.8638,18.8639,2,1
2.92932,3.02194,4.20868,2,3
2.12885,-3.15673,3.80749,2,2
1.83224,13.859,13.9796,2,1
-1.39625,-4.14951,4.37812,2,2
2.3592,-0.159886,2.36461,2,2
1.75875,4.33778,4.68077,2,4
-1.08862,3.63428,3.79383,2,5
-0.972919,3.31084,3.45083,2,4
-2.64328,-2.97565,3.98013,2,3
-5.82821,1.1986,5.95018,2,1
-97.8111,-31.5571,102.776,2,1
3.86984,-2.89426,4.83243,2,2
-1.75526,1.32085,2.19672,2,4
-4.40191,0.193327,4.40615,2,1
0.764059,2.72236,2.82755,2,5
-0.846091,1.52309,1.74232,2,3
-2.94348,1.75952,3.42928,2,3
34.0501,-50.5675,60.963,2,1
-40.7298,-2.23528,40.7911,2,1
-3.04099,-1.18923,3.26525,2,4
0.880148,-0.148059,0.892514,2,4
-0.152003,5.58826,5.59033,2,1
-3.37784,0.965208,3.51304,2,3
1.70446,3.82132,4.18422,2,5
